Apartment,City,Sq Ft,Listed Rent,Closest Caltrain,Distance,Walk Time,Review,Website Link
Stanford Villa,Palo Alto,1000,3650,California Ave,not yet verified,not yet verified,3.9 (5 reviews),https://www.apartments.com/stanford-villa-palo-alto-ca/5ezwzbq/
Parker Palo Alto,Palo Alto,not yet verified,3595,not yet verified,not yet verified,not yet verified,not yet verified,https://www.apartments.com/parker-palo-alto-palo-alto-ca/3dkqvmd/
Montage Apartments,Palo Alto,not yet verified,4995,California Ave,not yet verified,not yet verified,not yet verified,https://www.apartments.com/montage-apartments-palo-alto-ca/fqckbxs/
Southwood Apartments,Palo Alto,980,3695,California Ave,1.6 mi,not shown,Mixed,https://www.apartments.com/southwood-apartments-palo-alto-ca/6f8zpmt/
Midtown Apartments,Palo Alto,not yet verified,3595,not yet verified,not yet verified,not yet verified,not yet verified,https://www.apartments.com/midtown-apartments-palo-alto-ca/mcleetk/
Terman,Palo Alto,not yet verified,3299,not yet verified,not yet verified,not yet verified,not yet verified,https://www.apartments.com/terman-palo-alto-ca/pc98ggs/
2865 Park Blvd Unit PL FL3-ID739,Palo Alto,not yet verified,5180,California Ave,not yet verified,not yet verified,not yet verified,https://www.apartments.com/2865-park-blvd-palo-alto-ca-unit-pl-fl3-id739/6k7nznt/
345 Sheridan Ave Unit SI FL3-ID806,Palo Alto,not yet verified,4530,California Ave,not yet verified,not yet verified,not yet verified,https://www.apartments.com/345-sheridan-ave-palo-alto-ca-unit-si-fl3-id806/rhckc00/
501 Forest Ave Unit SI FL7-ID880,Palo Alto,not yet verified,5990,Palo Alto,not yet verified,not yet verified,not yet verified,https://www.apartments.com/501-forest-ave-palo-alto-ca-unit-si-fl7-id880/neb1emn/
747 Layne Ct Unit SI FL2-ID1861,Palo Alto,not yet verified,4860,California Ave,not yet verified,not yet verified,not yet verified,https://www.apartments.com/747-layne-ct-palo-alto-ca-unit-si-fl2-id1861/h6znkh3/
Sevens,Mountain View,1020,5703,Mountain View,1.3 mi,not yet verified (4 min drive),5.0 (2 reviews),https://www.apartments.com/sevens-mountain-view-ca/3rr7vmg/
Fayette Arms Apartments,Mountain View,961,4223,San Antonio,0.6 mi,12 min,4.0 (3 reviews),https://www.apartments.com/fayette-arms-apartments-mountain-view-ca/y6e1y4r/
Rowe at Pear Village,Mountain View,1249,5500,Mountain View,2.1 mi,not yet verified,4.9 (11 reviews),https://www.apartments.com/rowe-at-pear-village-mountain-view-ca/7fyfd6x/
Landsby,Mountain View,1046,5530,San Antonio,0.2 mi,4 min,4.6 (57 reviews),https://www.apartments.com/landsby-mountain-view-ca/8mzlqg0/
Verve,Mountain View,1089,Call for rent,San Antonio,1.2 mi,not yet verified,4.0 (0 reviews),https://www.apartments.com/verve-mountain-view-ca/dfw92yk/
Birch Creek,Mountain View,1060,4124,San Antonio,0.9 mi,17 min,4.3 (13 reviews),https://www.apartments.com/birch-creek-mountain-view-ca/z0v99gz/
The Shadows Apartments,Mountain View,1025,4595,Mountain View,1.3 mi,not yet verified,4.0 (0 reviews),https://www.apartments.com/the-shadows-apartments-mountain-view-ca/ysm3jjr/
MV Apartments,Mountain View,1013,5549,San Antonio,0.7 mi,14 min,4.8 (13 reviews),https://www.apartments.com/mv-apartments-mountain-view-ca/tlm9sdb/
Maplewood Apartments,Mountain View,947,3700,San Antonio,1.3 mi,not yet verified,4.0 (0 reviews),https://www.apartments.com/maplewood-apartments-mountain-view-ca/0h511d1/
Park Plaza Apartments,Mountain View,not yet verified,3499,not yet verified,not yet verified,not yet verified,not yet verified,https://www.apartments.com/park-plaza-apartments-mountain-view-ca/3clkm1d/
Hartwood,Sunnyvale,1209,Call for rent,Lawrence,0.1 mi,1 min,4.0 (0 reviews),https://www.apartments.com/hartwood-sunnyvale-ca/nzqhytq/
Anton 1101 Apartments,Sunnyvale,972,3800,Lawrence,3.1 mi,not yet verified,4.8 (4 reviews),https://www.apartments.com/anton-1101-apartments-sunnyvale-ca/4drq74j/
The Murphy Station,Sunnyvale,1044,4400,Lawrence,2.5 mi,not yet verified,4.9 (2 reviews),https://www.apartments.com/the-murphy-station-sunnyvale-ca/6vw7vwv/
Savoy,Sunnyvale,1228,4936,Lawrence,0.6 mi,12 min,4.4 (98 reviews),https://www.apartments.com/savoy-sunnyvale-ca/wz9c7ck/
Encasa,Sunnyvale,1148,Call for rent,Lawrence,3.0 mi,not yet verified,4.2 (24 reviews),https://www.apartments.com/encasa-sunnyvale-ca/s1ktnb6/
Tamarind Square,Sunnyvale,1105,4462,Sunnyvale,3.0 mi,not yet verified,4.7 (31 reviews),https://www.apartments.com/tamarind-square-sunnyvale-ca/22xqd68/
Naya,Sunnyvale,1013,4789,Sunnyvale,2.0 mi,not yet verified,4.8 (25 reviews),https://www.apartments.com/naya-sunnyvale-ca/prdh34v/
Redwood Place Apartment Homes,Sunnyvale,982,4400,Lawrence,1.6 mi,not yet verified,4.7 (4 reviews),https://www.apartments.com/redwood-place-apartment-homes-sunnyvale-ca/f5mc4nv/
The Meadows Apartments,Sunnyvale,915,4100,Sunnyvale,1.4 mi,not yet verified,4.8 (6 reviews),https://www.apartments.com/the-meadows-apartments-sunnyvale-ca/4fzr7tk/
Heritage Park,Sunnyvale,920,3280,Sunnyvale,0.7 mi,13 min,4.5 (11 reviews),https://www.apartments.com/heritage-park-sunnyvale-ca/h2ctem3/
