Apartment,City,Status,Reason Excluded,Current 2B/2B Details,Current / Next Availability,Review,Official Website,Listing Source,Closest Caltrain,Distance,Walk Time,Notes,Research Date,Primary Source
Parker Palo Alto,Palo Alto,EXCLUDED,No qualifying 2B/2B available by 2026-04-10,"Two Bedroom Two Bathroom Townhouse, 1,180 sq ft, call for rent",Not available,4.9 (4 reviews),https://www.parkerpaloalto.com,https://www.apartments.com/parker-palo-alto-palo-alto-ca/3dkqvmd/,not yet verified,not yet verified,not yet verified,"Property had many 2B/1B units available now through Apr 3, but the only 2B/2B floorplan was not available.",2026-03-17,Apartments.com live floor plan page
Midtown Apartments,Palo Alto,EXCLUDED,Property does not currently offer a live 2B/2B option,Only 2 Bed / 1.5 Bath floorplan was live,2 Bed / 1.5 Bath available now,3.0 (0 reviews),,https://www.apartments.com/midtown-apartments-palo-alto-ca/mcleetk/,not yet verified,not yet verified,not yet verified,"Gas and electricity are included according to the listing, but the available 2-bedroom option is only 1.5 baths.",2026-03-17,Apartments.com live floor plan page
Terman,Palo Alto,EXCLUDED,Property does not currently offer a live 2B/2B option,Only 2 Bed / 1 Bath floorplan was live,2 Bed / 1 Bath available now,4.0 (0 reviews),,https://www.apartments.com/terman-palo-alto-ca/pc98ggs/,not yet verified,not yet verified,not yet verified,Apartments.com presents Terman pricing as total monthly price.,2026-03-17,Apartments.com live floor plan page
2865 Park Blvd Unit PL FL3-ID739,Palo Alto,EXCLUDED,Exact listed unit could not be verified; alternate building source exists but does not confirm this exact unit ID,"Park Plaza Palo Alto building at same address shows a 2 Bed / 2 Bath available now at $4,500 for 951-987 sq ft",Building-level alternate source says available now,RentCafe showed 7 building reviews,https://www.kylixus.com/apartments/ca/palo-alto/park-plaza-residential/default,https://www.apartments.com/2865-park-blvd-palo-alto-ca-unit-pl-fl3-id739/6k7nznt/,California Ave,not yet verified,not yet verified,"The exact Apartments.com unit page for FL3-ID739 returned an internal error in the browsing tool, so I did not keep it in the eligible set.",2026-03-17,RentCafe building availability snippet + Apartments.com exact unit error
501 Forest Ave Unit SI FL7-ID880,Palo Alto,EXCLUDED,Available date is after early-April cutoff,"2 Bed / 2 Bath, 945 sq ft, Blueground furnished unit",Available Aug 1,n/a on unit listing,https://www.theblueground.com,https://www.apartments.com/501-forest-ave-palo-alto-ca-unit-si-fl7-id880/neb1emn/,Palo Alto,not yet verified,not yet verified,"Lowest advertised rate was $5,990/month based on a 12-month stay beginning Aug 1, 2026.",2026-03-17,Apartments.com unit page
747 Layne Ct Unit SI FL2-ID1861,Palo Alto,EXCLUDED,Does not meet 2B/2B requirement and available date is after early-April cutoff,"2 Bed / 1 Bath, 846 sq ft, Blueground furnished unit",Available Sep 6,n/a on unit listing,https://www.theblueground.com,https://www.apartments.com/747-layne-ct-palo-alto-ca-unit-si-fl2-id1861/h6znkh3/,California Ave,not yet verified,not yet verified,"Lowest advertised rate was $4,860/month for a stay beginning Sep 6, 2026.",2026-03-17,Apartments.com unit page
Fayette Arms Apartments,Mountain View,EXCLUDED,Earliest live 2B/2B availability is after early-April cutoff,"Premier 2026 Renovation: 2 Bed / 2 Bath, 961 sq ft, $4,223",Apr 18,4.0 (3 reviews),,https://www.apartments.com/fayette-arms-apartments-mountain-view-ca/y6e1y4r/,San Antonio,0.6 mi,12 min,This one barely missed the cutoff; it would remain a reasonable watchlist candidate if your move window slips.,2026-03-17,Apartments.com live floor plan page
Birch Creek,Mountain View,EXCLUDED,Earliest live 2B/2B availability is after early-April cutoff,"Plan B1, 2 Bed / 2 Bath, 1,060 sq ft, $4,124-$4,310",Apr 23 / Apr 24 / Apr 30,4.3 (13 reviews),,https://www.apartments.com/birch-creek-mountain-view-ca/z0v99gz/,San Antonio,0.9 mi,17 min,"Several 2B/2B units were listed, but all were later than April 10.",2026-03-17,Apartments.com live floor plan page
Park Plaza Apartments,Mountain View,EXCLUDED,Property does not currently offer a 2B/2B option; live 2-bedroom floorplan is 1.5 baths,"Townhouse floorplan is 2 Bed / 1.5 Bath, 1,075 sq ft, $3,499",Apr 1,4.3 (22 reviews),https://parkplazamv.com,https://www.apartments.com/park-plaza-apartments-mountain-view-ca/3clkm1d/,not yet verified,not yet verified,not yet verified,"Good review profile, but the qualifying 2B/2B inventory is not there right now.",2026-03-17,Apartments.com live floor plan page
Anton 1101 Apartments,Sunnyvale,EXCLUDED,No live 2B/2B inventory on the listing page,Serene / Vogue / Novel / Haven 2B/2B floorplans were all listed as not available,Not available,4.8 (4 reviews),,https://www.apartments.com/anton-1101-apartments-sunnyvale-ca/4drq74j/,Lawrence,3.1 mi,not yet verified,The community has 2B/2B floorplans but none were live in the current listing.,2026-03-17,Apartments.com live floor plan page
The Murphy Station,Sunnyvale,EXCLUDED,No live 2B/2B inventory on the listing page,"2Bed/2Bath, 1,044-1,253 sq ft, $4,400-$4,700",Not available,4.9 (2 reviews),,https://www.apartments.com/the-murphy-station-sunnyvale-ca/6vw7vwv/,Lawrence,2.5 mi,not yet verified,The listing still advertises the 2B/2B plan but marks it unavailable.,2026-03-17,Apartments.com live floor plan page
Tamarind Square,Sunnyvale,EXCLUDED,Earliest live 2B/2B availability is after early-April cutoff,"Jakarta, 2 Bed / 2 Bath, 1,336 sq ft, $4,466",May 15,4.7 (31 reviews),,https://www.apartments.com/tamarind-square-sunnyvale-ca/22xqd68/,Sunnyvale,3.0 mi,not yet verified,Other 2B/2B floorplans on the page were not available.,2026-03-17,Apartments.com live floor plan page
