apartment,city,address,latitude,longitude,earliestAvailability,availableBy,beds,baths,sqFt,listedRent,priceBasis,floorplanUnit,specials,deposit,leaseTerms,review,officialWebsite,listingSource,closestCaltrain,distance,walkTime,notes,researchDate,primarySource,walkTimeBasis,washer,washerNotes,transitLaundryEvidence,sourceUrls,transitLaundryConfidence
Landsby,Mountain View,"2580-2590 California St, Mountain View, CA 94040",37.4052864,-122.109234,Now,2026-04-10,2,2,"964-1,047","$5,618-$5,710",Total monthly price,2A-6 / Unit 1511 now; 2K-1 / Unit 3521 Mar 21; 2B-1 / Unit 3319 Mar 23,,,,4.6 (57 reviews),https://livelandsby.com/,https://www.apartments.com/landsby-mountain-view-ca/8mzlqg0/,San Antonio,0.2 mi,4 min,A second 2B-1 unit for May 8 was excluded from the eligible interpretation.,2026-03-18,Apartments.com live floor plan page,Listing-provided walking time,In-unit washer/dryer,Apartments.com says Landsby has in-unit washers/dryers; official amenities page lists a GE front-load washer & dryer in select homes.,Official site says Landsby is a short walk to San Antonio Caltrain; Apartments.com lists San Antonio at 0.2 mi / 4 min walk and confirms in-unit laundry.,https://livelandsby.com/ | https://livelandsby.com/amenities/ | https://www.apartments.com/landsby-mountain-view-ca/8mzlqg0/,0.97
MV Apartments,Mountain View,"2700 W El Camino Real, Mountain View, CA 94040",37.3857514,-122.0841169,Now,2026-04-10,2,2,"1,013","$5,549",Base rent,Chestnut / Unit 528 now,,,,4.8 (13 reviews),https://www.mvapartments.com/,https://www.apartments.com/mv-apartments-mountain-view-ca/tlm9sdb/,San Antonio,0.9 mi,16 min,A second Chestnut unit for Apr 14 was excluded from the eligible interpretation because it is after the cutoff.,2026-03-18,Apartments.com live floor plan page,Listing-stated walking time on Apartments.com,In-unit washer/dryer,Official site lists in-home laundry appliances and a full-size front-loading washer and dryer; Apartments.com also lists in-unit washers and dryers.,Official MV Apartments site advertises in-home laundry appliances/full-size front-loading washer and dryer. Apartments.com lists San Antonio at 0.9 mi / 16 min walk.,https://www.mvapartments.com/ | https://www.apartments.com/mv-apartments-mountain-view-ca/tlm9sdb/,0.96
Maplewood Apartments,Mountain View,"1885 California St, Mountain View, CA 94043",37.3960388,-122.0942791,Now,2026-04-10,2,2,947,"$3,700-$3,800",Base rent,Plan B1 / Unit 29 now; Unit 31 Apr 7,Up to 1 month on us,$600,,4.0 (0 reviews),https://livemaplewoodca.com/amenities.aspx,https://www.apartments.com/maplewood-apartments-mountain-view-ca/0h511d1/,Mountain View,1.3 mi,26 min,Two 2B/2B units were live and both meet the early-April cutoff.,2026-03-18,Apartments.com live floor plan page,Estimated from the listed 1.3 mi distance at 20 min/mile; no published walking route was found,In-unit washer/dryer,Official site lists In-Home Washer & Dryer; Apartments.com also says units have in-unit washers and dryers.,Official Maplewood site shows 1885 California St and in-home washer/dryer. Apartments.com lists Mountain View Caltrain at 1.3 mi and San Antonio at 1.5 mi.,https://livemaplewoodca.com/amenities.aspx | https://www.apartments.com/maplewood-apartments-mountain-view-ca/0h511d1/ | https://www.apartmentfinder.com/California/Mountain-View-Apartments/Maplewood-Apartments,0.68
Montrose,Mountain View,"1720 W El Camino Real, Mountain View, CA 94040",37.3908972,-122.0935481,Now,2026-04-10,2,2,"1,094-1,289","$5,108-$5,605",Base rent,"2C (Units 303, 256 now; Unit 1211 Apr 5)",,,Month-to-month and short-term leases available,5.0 (0 reviews),https://prometheusapartments.com/ca/mountain-view-apartments/montrose,https://www.apartments.com/montrose-mountain-view-ca/8875n40/,Mountain View,1.8 mi,36 min,"Live 2B/2B units are posted now and on Apr 5, but the property is materially farther from Caltrain on foot than Dean, Verve, or MV Apartments.",2026-03-18,Apartments.com exact property page plus ApartmentHomeLiving 2-bedroom availability,Estimated from routed walking distance to Mountain View Caltrain using a map routing tool at 20 min/mile because the listing only exposed drive distance to Caltrain,In-unit washer/dryer,Apartments.com lists Washer/Dryer in apartment features for Montrose.,"Apartments.com confirms in-unit washer/dryer. Because the page only exposed drive-distance Caltrain info, the walk metric was estimated from a routed walking path to Mountain View Caltrain.",https://prometheusapartments.com/ca/mountain-view-apartments/montrose | https://www.apartments.com/montrose-mountain-view-ca/8875n40/ | https://www.apartmenthomeliving.com/mountain-view-ca/san-antonio/apartments-for-rent/2-bedroom,0.83
Rowe at Pear Village,Mountain View,"1265 Pear Ave, Mountain View, CA 94043",37.4142233,-122.0741342,2026-03-22,2026-04-10,2,2,"1,146-1,318","$5,190-$5,650",Total monthly price,"Unit 260 (1,146 sq ft, Mar 22); 2A.2 / Unit 332 (1,318 sq ft, Mar 25)",,,,4.9 (11 reviews),https://rowepearvillage.com/amenities/,https://www.apartments.com/rowe-at-pear-village-mountain-view-ca/7fyfd6x/,Mountain View,1.13 mi,23 min,A May 7 unit was excluded from the eligible interpretation because it misses the early-April cutoff.,2026-03-18,Apartments.com live floor plan page,Estimated from the listed 1.13 mi distance at 20 min/mile,In-unit washer/dryer,Official site says Whirlpool front-load washer and dryer in unit; Apartments.com and Zillow also list in-unit laundry.,"Official amenities page lists in-unit washer/dryer. ApartmentHomeLiving lists Mountain View Caltrain at 1.13 mi; no direct walking route was exposed, so time was estimated.",https://rowepearvillage.com/amenities/ | https://www.apartments.com/rowe-at-pear-village-mountain-view-ca/7fyfd6x/ | https://www.apartmenthomeliving.com/apartment-finder/Rowe-at-Pear-Village-Mountain-View-CA-94043-19859551 | https://www.caltrain.com/station/mountainview,0.79
Sevens,Mountain View,"777 W Middlefield Rd, Mountain View, CA 94043",37.4027987,-122.076013,Now,2026-04-10,2,2,"1,021-1,240+","$5,979-$7,184",Total monthly price,"B4 (Units B-130 now, B-276 now, B-176 Mar 31, B-145 Mar 31); additional 2B/2B floorplans also listed",Up to 8 weeks free base rent,,Minimum lease term applies,5.0 (2 reviews),https://sevensmv.com/,https://www.apartments.com/sevens-mountain-view-ca/3rr7vmg/,Mountain View,~0.75 mi,15 min,At least one 2B/2B floorplan was available now and another set by Mar 31. Apartments.com labels pricing as total monthly price.,2026-03-18,Apartments.com live floor plan page,Official site lists a 15-minute walk; distance back-calculated at 20 min/mile,In-unit washer/dryer,Official amenities page lists In-Unit Washer and Dryer; Apartments.com and Zillow also list in-unit washer/dryer.,Official site states Mountain View Caltrain Station is a 15-minute walk from Sevens and lists in-unit washer/dryer.,https://sevensmv.com/amenities/ | https://sevensmv.com/p/transportation/ | https://www.apartments.com/sevens-mountain-view-ca/3rr7vmg/ | https://www.zillow.com/apartments/mountain-view-ca/sevens/9VG5jp/,0.91
The Dean,Mountain View,"458 San Antonio Rd, Mountain View, CA 94040",37.4044792,-122.1118289,Now,2026-04-10,2,2,"951-1,142","$5,646+",Base rent,"2A (Units 1224, 1724 now); 2G (Units 4134, 4130, 3107 now); 2H (Unit 3205 now)",2 weeks free on select apartments,$500,Month-to-month and short-term leases available,4.8 (3 reviews),https://prometheusapartments.com/ca/mountain-view-apartments/the-dean,https://www.apartments.com/dean-mountain-view-ca/3yxd35f/,San Antonio,0.5 mi,9 min,"Multiple live 2B/2B floorplans were posted on March 18, 2026; this is one of the closest San Antonio-area additions.",2026-03-18,Apartments.com exact property page plus Prometheus official page,Listed walking time/distance from Apartments.com transportation section,In-unit washer/dryer,"Apartments.com lists Washer/Dryer in apartment features, and the official community markets in-home laundry among its residential finishes.","Apartments.com shows San Antonio Caltrain as a 0.5-mile, 9-minute walk and lists Washer/Dryer in unit features. Prometheus is the official site of record.",https://prometheusapartments.com/ca/mountain-view-apartments/the-dean | https://www.apartments.com/dean-mountain-view-ca/3yxd35f/ | https://www.apartmenthomeliving.com/mountain-view-ca/apartments-for-rent/2-bedroom,0.95
The Shadows Apartments,Mountain View,"750 N Shoreline Blvd, Mountain View, CA 94043",37.4050688,-122.0782316,Now,2026-04-10,2,2,"1,025","$4,595",Base rent,E floorplan,"$1,000 off when you look and lease; water, sewer, and garbage included in rent",$800,,4.0 (0 reviews),https://www.shadowsapartments.com/,https://www.apartments.com/the-shadows-apartments-mountain-view-ca/ysm3jjr/,Mountain View,1.0 mi,18 min,The 2B/2B floorplan was listed as available now without individual unit rows on Apartments.com.,2026-03-18,Apartments.com live floor plan page,Reported walking time from property transit listing,In-unit washer/dryer,Official site and Apartments.com both list in-unit washer/dryer; Apartments.com also lists shared laundry facilities in the community.,Official site and Apartments.com identify The Shadows at 750 N Shoreline Blvd and both list in-unit washer/dryer. LoopNet shows Mountain View Caltrain at 1.0 mi / 18 min walk.,https://www.shadowsapartments.com/ | https://www.apartments.com/the-shadows-apartments-mountain-view-ca/ysm3jjr/ | https://www.loopnet.com/property/750-n-shoreline-blvd-mountain-view-ca-94043/06085-15031038/ | https://www.caltrain.com/station/mountainview,0.87
The Tillery,Mountain View,"1720 Villa St, Mountain View, CA 94041",37.398124,-122.0895984,Now,2026-04-10,2,2,"1,194-1,232","$5,023-$6,098",Base rent,"2A (Units 202, 402 now); 2C (Units 204, 404 now); 2D (Units 201, 203, 301 now)",Save up to 4 weeks,$500,,5.0 (0 reviews),https://prometheusapartments.com/ca/mountain-view-apartments/the-tillery,https://www.apartments.com/the-tillery-mountain-view-ca/yr0kvys/,Mountain View,1.0 mi,19 min,"The Tillery is current and walkable to Mountain View Caltrain, but it sits at the high end of your search budget.",2026-03-18,Apartments.com exact property page plus ApartmentHomeLiving 2-bedroom availability,Listed walking time/distance from Apartments.com transportation section,In-unit washer/dryer,Apartments.com lists stackable Washer & Dryer as a unique feature.,"Apartments.com shows Mountain View Caltrain as a 1.0-mile, 19-minute walk and identifies stackable Washer & Dryer as a unit feature.",https://prometheusapartments.com/ca/mountain-view-apartments/the-tillery | https://www.apartments.com/the-tillery-mountain-view-ca/yr0kvys/ | https://www.apartmenthomeliving.com/mountain-view-ca/apartments-for-rent/2-bedroom,0.94
Verve,Mountain View,"2020 W El Camino Real, Mountain View, CA 94040",37.3947662,-122.1000645,Now,2026-04-10,2,2,"1,121-1,651","$5,139-$5,736",Base rent,B2A / Unit 322 now; B2G / Unit 410 Mar 27,,,,4.0 (0 reviews),https://www.udr.com/san-francisco-bay-area-apartments/mountain-view/verve/amenities/,https://www.apartments.com/verve-mountain-view-ca/dfw92yk/,San Antonio,0.66 mi,13 min,Another 2B/2B unit (B2J / Unit 412) was listed for Apr 23 and excluded from the eligible interpretation.,2026-03-18,Apartments.com live floor plan page,Estimated from listed distance at 20 min/mile because no explicit walking time was published,In-unit washer/dryer,Official UDR amenities page says in-home washer/dryer; Apartments.com and ApartmentHomeLiving also list in-unit Washer/Dryer.,Official UDR pages say Verve has an in-home washer/dryer. ApartmentHomeLiving lists San Antonio Caltrain as the closest stop at 0.66 mi.,https://www.udr.com/san-francisco-bay-area-apartments/mountain-view/verve/neighborhood/ | https://www.apartments.com/verve-mountain-view-ca/dfw92yk/ | https://www.apartmenthomeliving.com/apartment-finder/Verve-Mountain-View-CA-94040-3051240 | https://www.caltrain.com/station/sanantonio,0.79
